sentence,prompt
"Dan Quayle 's first trip out of the country as vice is likely to be to Caracas , Venezuela , for Carlos Andres Perez 's presidential inauguration on Feb. 2 , an official in President-elect Bush 's transition said Thursday .",Carlos Andres Perez is a/an person entity .
"Dan Quayle 's first trip out of the country as vice is likely to be to Caracas , Venezuela , for Carlos Andres Perez 's presidential inauguration on Feb. 2 , an official in President-elect Bush 's transition said Thursday .","Feb. 2 , is a/an other entity ."
"Dan Quayle 's first trip out of the country as vice is likely to be to Caracas , Venezuela , for Carlos Andres Perez 's presidential inauguration on Feb. 2 , an official in President-elect Bush 's transition said Thursday .","Venezuela , for Carlos is not a named entity ."
"Dan Quayle 's first trip out of the country as vice is likely to be to Caracas , Venezuela , for Carlos Andres Perez 's presidential inauguration on Feb. 2 , an official in President-elect Bush 's transition said Thursday .",vice is likely to be to Caracas is not a named entity .
"Dan Quayle 's first trip out of the country as vice is likely to be to Caracas , Venezuela , for Carlos Andres Perez 's presidential inauguration on Feb. 2 , an official in President-elect Bush 's transition said Thursday .","to be to Caracas , Venezuela , is not a named entity ."
"Dan Quayle 's first trip out of the country as vice is likely to be to Caracas , Venezuela , for Carlos Andres Perez 's presidential inauguration on Feb. 2 , an official in President-elect Bush 's transition said Thursday .","Venezuela , for Carlos Andres Perez 's is not a named entity ."
"Dan Quayle 's first trip out of the country as vice is likely to be to Caracas , Venezuela , for Carlos Andres Perez 's presidential inauguration on Feb. 2 , an official in President-elect Bush 's transition said Thursday .",out is not a named entity .
"Dan Quayle 's first trip out of the country as vice is likely to be to Caracas , Venezuela , for Carlos Andres Perez 's presidential inauguration on Feb. 2 , an official in President-elect Bush 's transition said Thursday .",Carlos Andres Perez 's presidential inauguration on Feb. is not a named entity .
"Dan Quayle 's first trip out of the country as vice is likely to be to Caracas , Venezuela , for Carlos Andres Perez 's presidential inauguration on Feb. 2 , an official in President-elect Bush 's transition said Thursday .",in President-elect Bush 's transition said Thursday . is not a named entity .
"Dan Quayle 's first trip out of the country as vice is likely to be to Caracas , Venezuela , for Carlos Andres Perez 's presidential inauguration on Feb. 2 , an official in President-elect Bush 's transition said Thursday .",President-elect Bush 's transition said is not a named entity .
"Dan Quayle 's first trip out of the country as vice is likely to be to Caracas , Venezuela , for Carlos Andres Perez 's presidential inauguration on Feb. 2 , an official in President-elect Bush 's transition said Thursday .",Perez 's presidential inauguration is not a named entity .
"Dan Quayle 's first trip out of the country as vice is likely to be to Caracas , Venezuela , for Carlos Andres Perez 's presidential inauguration on Feb. 2 , an official in President-elect Bush 's transition said Thursday .",'s transition is not a named entity .
"Rogers , a native of Fort Worth , Texas , has a dry wit and so much of the American southwest in his manner and voice that he spends a lot of time denying he 's related to the famous Oklahoma cowboy humorist Will Rogers .",Rogers is a/an person entity .
"Rogers , a native of Fort Worth , Texas , has a dry wit and so much of the American southwest in his manner and voice that he spends a lot of time denying he 's related to the famous Oklahoma cowboy humorist Will Rogers .","Fort Worth , Texas is a/an location entity ."
"Rogers , a native of Fort Worth , Texas , has a dry wit and so much of the American southwest in his manner and voice that he spends a lot of time denying he 's related to the famous Oklahoma cowboy humorist Will Rogers .",Oklahoma is a/an location entity .
"Rogers , a native of Fort Worth , Texas , has a dry wit and so much of the American southwest in his manner and voice that he spends a lot of time denying he 's related to the famous Oklahoma cowboy humorist Will Rogers .",Will Rogers is a/an person entity .
"Rogers , a native of Fort Worth , Texas , has a dry wit and so much of the American southwest in his manner and voice that he spends a lot of time denying he 's related to the famous Oklahoma cowboy humorist Will Rogers .",to the famous is not a named entity .
"Rogers , a native of Fort Worth , Texas , has a dry wit and so much of the American southwest in his manner and voice that he spends a lot of time denying he 's related to the famous Oklahoma cowboy humorist Will Rogers .",wit and so is not a named entity .
"Rogers , a native of Fort Worth , Texas , has a dry wit and so much of the American southwest in his manner and voice that he spends a lot of time denying he 's related to the famous Oklahoma cowboy humorist Will Rogers .",'s related to is not a named entity .
"Rogers , a native of Fort Worth , Texas , has a dry wit and so much of the American southwest in his manner and voice that he spends a lot of time denying he 's related to the famous Oklahoma cowboy humorist Will Rogers .",", a native of Fort Worth is not a named entity ."
"Rogers , a native of Fort Worth , Texas , has a dry wit and so much of the American southwest in his manner and voice that he spends a lot of time denying he 's related to the famous Oklahoma cowboy humorist Will Rogers .",famous is not a named entity .
"Rogers , a native of Fort Worth , Texas , has a dry wit and so much of the American southwest in his manner and voice that he spends a lot of time denying he 's related to the famous Oklahoma cowboy humorist Will Rogers .",'s related to the is not a named entity .
"Rogers , a native of Fort Worth , Texas , has a dry wit and so much of the American southwest in his manner and voice that he spends a lot of time denying he 's related to the famous Oklahoma cowboy humorist Will Rogers .",spends a lot of time denying he is not a named entity .
"Rogers , a native of Fort Worth , Texas , has a dry wit and so much of the American southwest in his manner and voice that he spends a lot of time denying he 's related to the famous Oklahoma cowboy humorist Will Rogers .",he spends a is not a named entity .
Sirhan says he was the lone assassin but can 't remember shooting Kennedy .,Sirhan is a/an person entity .
Sirhan says he was the lone assassin but can 't remember shooting Kennedy .,Kennedy is a/an person entity .
Sirhan says he was the lone assassin but can 't remember shooting Kennedy .,the lone assassin is not a named entity .
Sirhan says he was the lone assassin but can 't remember shooting Kennedy .,was the is not a named entity .
Sirhan says he was the lone assassin but can 't remember shooting Kennedy .,Sirhan says he is not a named entity .
Sirhan says he was the lone assassin but can 't remember shooting Kennedy .,he was the lone assassin but is not a named entity .
"The registrar of the University of Nigeria 's Nsukka campus , U. Umeh , said he had closed the university on the advice of the government .",University is a/an other entity .
"The registrar of the University of Nigeria 's Nsukka campus , U. Umeh , said he had closed the university on the advice of the government .",Nigeria is a/an location entity .
"The registrar of the University of Nigeria 's Nsukka campus , U. Umeh , said he had closed the university on the advice of the government .",Nsukka is a/an location entity .
"The registrar of the University of Nigeria 's Nsukka campus , U. Umeh , said he had closed the university on the advice of the government .",U. Umeh is a/an other entity .
"The registrar of the University of Nigeria 's Nsukka campus , U. Umeh , said he had closed the university on the advice of the government .",advice of the government . is not a named entity .
"The registrar of the University of Nigeria 's Nsukka campus , U. Umeh , said he had closed the university on the advice of the government .",", said he had closed the university is not a named entity ."
"The registrar of the University of Nigeria 's Nsukka campus , U. Umeh , said he had closed the university on the advice of the government .",had closed the university on is not a named entity .
"The registrar of the University of Nigeria 's Nsukka campus , U. Umeh , said he had closed the university on the advice of the government .",the university on the advice of is not a named entity .
"The registrar of the University of Nigeria 's Nsukka campus , U. Umeh , said he had closed the university on the advice of the government .",of the government . is not a named entity .
"The registrar of the University of Nigeria 's Nsukka campus , U. Umeh , said he had closed the university on the advice of the government .",", U. Umeh , said he had closed is not a named entity ."
"The registrar of the University of Nigeria 's Nsukka campus , U. Umeh , said he had closed the university on the advice of the government .",university on is not a named entity .
"The registrar of the University of Nigeria 's Nsukka campus , U. Umeh , said he had closed the university on the advice of the government .",he had closed the university on the advice is not a named entity .
"In Colorado , 13 inches of snow in Denver Wednesday prompted officials to close Interstate 270 temporarily .",Colorado is a/an location entity .
"In Colorado , 13 inches of snow in Denver Wednesday prompted officials to close Interstate 270 temporarily .",13 inches is a/an other entity .
"In Colorado , 13 inches of snow in Denver Wednesday prompted officials to close Interstate 270 temporarily .",Denver is a/an location entity .
"In Colorado , 13 inches of snow in Denver Wednesday prompted officials to close Interstate 270 temporarily .",13 inches of snow in Denver Wednesday prompted is not a named entity .
"In Colorado , 13 inches of snow in Denver Wednesday prompted officials to close Interstate 270 temporarily .",in is not a named entity .
"In Colorado , 13 inches of snow in Denver Wednesday prompted officials to close Interstate 270 temporarily .","In Colorado , 13 inches is not a named entity ."
"In Colorado , 13 inches of snow in Denver Wednesday prompted officials to close Interstate 270 temporarily .","In Colorado , 13 is not a named entity ."
"In Colorado , 13 inches of snow in Denver Wednesday prompted officials to close Interstate 270 temporarily .",", is not a named entity ."
"In Colorado , 13 inches of snow in Denver Wednesday prompted officials to close Interstate 270 temporarily .",13 inches of snow in Denver is not a named entity .
"Edward Marks , an official with the Montgomery County Democratic Party , argued that if Ms. Toth is not interested in the job , ` ` she should get out. .. .",Edward Marks is a/an person entity .
"Edward Marks , an official with the Montgomery County Democratic Party , argued that if Ms. Toth is not interested in the job , ` ` she should get out. .. .",Montgomery County Democratic Party is a/an organization entity .
"Edward Marks , an official with the Montgomery County Democratic Party , argued that if Ms. Toth is not interested in the job , ` ` she should get out. .. .",Ms. Toth is a/an person entity .
"Edward Marks , an official with the Montgomery County Democratic Party , argued that if Ms. Toth is not interested in the job , ` ` she should get out. .. .","Party , is not a named entity ."
"Edward Marks , an official with the Montgomery County Democratic Party , argued that if Ms. Toth is not interested in the job , ` ` she should get out. .. .",get out. .. . is not a named entity .
"Edward Marks , an official with the Montgomery County Democratic Party , argued that if Ms. Toth is not interested in the job , ` ` she should get out. .. .",the Montgomery County Democratic is not a named entity .
"Edward Marks , an official with the Montgomery County Democratic Party , argued that if Ms. Toth is not interested in the job , ` ` she should get out. .. .",", ` ` she is not a named entity ."
"Edward Marks , an official with the Montgomery County Democratic Party , argued that if Ms. Toth is not interested in the job , ` ` she should get out. .. .",` she should get out. .. is not a named entity .
"Edward Marks , an official with the Montgomery County Democratic Party , argued that if Ms. Toth is not interested in the job , ` ` she should get out. .. .",not interested in the job is not a named entity .
Moscow IZVESTIYA,Moscow is a/an location entity .
Moscow IZVESTIYA,IZVESTIYA is a/an organization entity .
Moscow IZVESTIYA,Moscow IZVESTIYA is not a named entity .
He said he only learned his father was a war-stress patient at St. Nicholas Hospital in Gosforth in northeast England after he died two years ago .,St. Nicholas Hospital is a/an organization entity .
He said he only learned his father was a war-stress patient at St. Nicholas Hospital in Gosforth in northeast England after he died two years ago .,Gosforth is a/an location entity .
He said he only learned his father was a war-stress patient at St. Nicholas Hospital in Gosforth in northeast England after he died two years ago .,England is a/an location entity .
He said he only learned his father was a war-stress patient at St. Nicholas Hospital in Gosforth in northeast England after he died two years ago .,two years is a/an other entity .
He said he only learned his father was a war-stress patient at St. Nicholas Hospital in Gosforth in northeast England after he died two years ago .,England after he died two is not a named entity .
He said he only learned his father was a war-stress patient at St. Nicholas Hospital in Gosforth in northeast England after he died two years ago .,was a war-stress patient at St. is not a named entity .
He said he only learned his father was a war-stress patient at St. Nicholas Hospital in Gosforth in northeast England after he died two years ago .,he is not a named entity .
He said he only learned his father was a war-stress patient at St. Nicholas Hospital in Gosforth in northeast England after he died two years ago .,patient at St. Nicholas Hospital in is not a named entity .
He said he only learned his father was a war-stress patient at St. Nicholas Hospital in Gosforth in northeast England after he died two years ago .,Hospital in Gosforth in northeast England is not a named entity .
He said he only learned his father was a war-stress patient at St. Nicholas Hospital in Gosforth in northeast England after he died two years ago .,he died two years ago is not a named entity .
He said he only learned his father was a war-stress patient at St. Nicholas Hospital in Gosforth in northeast England after he died two years ago .,years ago is not a named entity .
He said he only learned his father was a war-stress patient at St. Nicholas Hospital in Gosforth in northeast England after he died two years ago .,Gosforth in northeast is not a named entity .
"ROYAL OAK , Mich .",ROYAL OAK is a/an location entity .
"ROYAL OAK , Mich .",Mich . is a/an location entity .
"ROYAL OAK , Mich .",Mich is not a named entity .
"ROYAL OAK , Mich .",", Mich . is not a named entity ."
"ROYAL OAK , Mich .","OAK , Mich is not a named entity ."
"ROYAL OAK , Mich .",", Mich is not a named entity ."
"The session was opened by Aleksandr Kruhlow , a 72-year-old deputy from Sevastopol , organizer of many meetings in Nakhimov Square , and an untiring fighter for the return of Sevastopol and the Crimea to Russia .",Aleksandr Kruhlow is a/an person entity .
"The session was opened by Aleksandr Kruhlow , a 72-year-old deputy from Sevastopol , organizer of many meetings in Nakhimov Square , and an untiring fighter for the return of Sevastopol and the Crimea to Russia .",Sevastopol is a/an location entity .
"The session was opened by Aleksandr Kruhlow , a 72-year-old deputy from Sevastopol , organizer of many meetings in Nakhimov Square , and an untiring fighter for the return of Sevastopol and the Crimea to Russia .",Nakhimov Square is a/an location entity .
"The session was opened by Aleksandr Kruhlow , a 72-year-old deputy from Sevastopol , organizer of many meetings in Nakhimov Square , and an untiring fighter for the return of Sevastopol and the Crimea to Russia .",Crimea is a/an location entity .
"The session was opened by Aleksandr Kruhlow , a 72-year-old deputy from Sevastopol , organizer of many meetings in Nakhimov Square , and an untiring fighter for the return of Sevastopol and the Crimea to Russia .",Russia is a/an location entity .
"The session was opened by Aleksandr Kruhlow , a 72-year-old deputy from Sevastopol , organizer of many meetings in Nakhimov Square , and an untiring fighter for the return of Sevastopol and the Crimea to Russia .",opened by Aleksandr Kruhlow is not a named entity .
"The session was opened by Aleksandr Kruhlow , a 72-year-old deputy from Sevastopol , organizer of many meetings in Nakhimov Square , and an untiring fighter for the return of Sevastopol and the Crimea to Russia .",of Sevastopol and the Crimea to Russia is not a named entity .
"The session was opened by Aleksandr Kruhlow , a 72-year-old deputy from Sevastopol , organizer of many meetings in Nakhimov Square , and an untiring fighter for the return of Sevastopol and the Crimea to Russia .",an untiring fighter for the return of Sevastopol is not a named entity .
"The session was opened by Aleksandr Kruhlow , a 72-year-old deputy from Sevastopol , organizer of many meetings in Nakhimov Square , and an untiring fighter for the return of Sevastopol and the Crimea to Russia .",an is not a named entity .
"The session was opened by Aleksandr Kruhlow , a 72-year-old deputy from Sevastopol , organizer of many meetings in Nakhimov Square , and an untiring fighter for the return of Sevastopol and the Crimea to Russia .",72-year-old deputy is not a named entity .
"The session was opened by Aleksandr Kruhlow , a 72-year-old deputy from Sevastopol , organizer of many meetings in Nakhimov Square , and an untiring fighter for the return of Sevastopol and the Crimea to Russia .","deputy from Sevastopol , organizer of many meetings is not a named entity ."
"The session was opened by Aleksandr Kruhlow , a 72-year-old deputy from Sevastopol , organizer of many meetings in Nakhimov Square , and an untiring fighter for the return of Sevastopol and the Crimea to Russia .",", and an untiring fighter is not a named entity ."
"The session was opened by Aleksandr Kruhlow , a 72-year-old deputy from Sevastopol , organizer of many meetings in Nakhimov Square , and an untiring fighter for the return of Sevastopol and the Crimea to Russia .","Sevastopol , organizer of many meetings in is not a named entity ."
"The session was opened by Aleksandr Kruhlow , a 72-year-old deputy from Sevastopol , organizer of many meetings in Nakhimov Square , and an untiring fighter for the return of Sevastopol and the Crimea to Russia .",untiring fighter for the return of Sevastopol and is not a named entity .
"The session was opened by Aleksandr Kruhlow , a 72-year-old deputy from Sevastopol , organizer of many meetings in Nakhimov Square , and an untiring fighter for the return of Sevastopol and the Crimea to Russia .","was opened by Aleksandr Kruhlow , a 72-year-old is not a named entity ."
"The Coast Guard rescued seven people from a sinking shrimp boat near the Sabine Pass station , said station chief Kenneth Compton.",Coast Guard is a/an organization entity .
"The Coast Guard rescued seven people from a sinking shrimp boat near the Sabine Pass station , said station chief Kenneth Compton.",Sabine Pass station is a/an location entity .
"The Coast Guard rescued seven people from a sinking shrimp boat near the Sabine Pass station , said station chief Kenneth Compton.",Kenneth Compton. is a/an person entity .
"The Coast Guard rescued seven people from a sinking shrimp boat near the Sabine Pass station , said station chief Kenneth Compton.",near the Sabine Pass is not a named entity .
"The Coast Guard rescued seven people from a sinking shrimp boat near the Sabine Pass station , said station chief Kenneth Compton.",station is not a named entity .
"The Coast Guard rescued seven people from a sinking shrimp boat near the Sabine Pass station , said station chief Kenneth Compton.","Sabine Pass station , said is not a named entity ."
"The Coast Guard rescued seven people from a sinking shrimp boat near the Sabine Pass station , said station chief Kenneth Compton.","Pass station , said station chief Kenneth is not a named entity ."
"The Coast Guard rescued seven people from a sinking shrimp boat near the Sabine Pass station , said station chief Kenneth Compton.",from a sinking shrimp boat near the is not a named entity .
"The Coast Guard rescued seven people from a sinking shrimp boat near the Sabine Pass station , said station chief Kenneth Compton.",sinking shrimp boat near the Sabine Pass is not a named entity .
"Most of the work conducted by the Warren Commission , which concluded that Lee Harvey Oswald acted alone in the Kennedy slaying , has been opened to the public , a move that has helped researchers evaluate _ and in many cases strongly criticize _ that investigation .",Warren Commission is a/an organization entity .
"Most of the work conducted by the Warren Commission , which concluded that Lee Harvey Oswald acted alone in the Kennedy slaying , has been opened to the public , a move that has helped researchers evaluate _ and in many cases strongly criticize _ that investigation .",Lee Harvey Oswald is a/an person entity .
"Most of the work conducted by the Warren Commission , which concluded that Lee Harvey Oswald acted alone in the Kennedy slaying , has been opened to the public , a move that has helped researchers evaluate _ and in many cases strongly criticize _ that investigation .",Kennedy is a/an person entity .
"Most of the work conducted by the Warren Commission , which concluded that Lee Harvey Oswald acted alone in the Kennedy slaying , has been opened to the public , a move that has helped researchers evaluate _ and in many cases strongly criticize _ that investigation .","work conducted by the Warren Commission , which is not a named entity ."
"Most of the work conducted by the Warren Commission , which concluded that Lee Harvey Oswald acted alone in the Kennedy slaying , has been opened to the public , a move that has helped researchers evaluate _ and in many cases strongly criticize _ that investigation .",that Lee Harvey Oswald acted alone is not a named entity .
"Most of the work conducted by the Warren Commission , which concluded that Lee Harvey Oswald acted alone in the Kennedy slaying , has been opened to the public , a move that has helped researchers evaluate _ and in many cases strongly criticize _ that investigation .",Harvey Oswald is not a named entity .
"Most of the work conducted by the Warren Commission , which concluded that Lee Harvey Oswald acted alone in the Kennedy slaying , has been opened to the public , a move that has helped researchers evaluate _ and in many cases strongly criticize _ that investigation .",helped researchers evaluate is not a named entity .
"Most of the work conducted by the Warren Commission , which concluded that Lee Harvey Oswald acted alone in the Kennedy slaying , has been opened to the public , a move that has helped researchers evaluate _ and in many cases strongly criticize _ that investigation .","slaying , is not a named entity ."
"Most of the work conducted by the Warren Commission , which concluded that Lee Harvey Oswald acted alone in the Kennedy slaying , has been opened to the public , a move that has helped researchers evaluate _ and in many cases strongly criticize _ that investigation .",and in is not a named entity .
"In 1898 , composer George Gershwin was born in New York .",George Gershwin is a/an person entity .
"In 1898 , composer George Gershwin was born in New York .",New York is a/an location entity .
"In 1898 , composer George Gershwin was born in New York .","1898 , composer George Gershwin was is not a named entity ."
"In 1898 , composer George Gershwin was born in New York .","1898 , composer George Gershwin is not a named entity ."
"In 1898 , composer George Gershwin was born in New York .",", composer George Gershwin was born is not a named entity ."
"In 1898 , composer George Gershwin was born in New York .","1898 , composer George Gershwin was born in is not a named entity ."
""" U.S. decision-makers should understand that the signals they send today will have major ramifications for the Israeli approach to the Arrow program , "" says Marvin Feuerwerger in a 1991 study for the Washington Institute for Near East Policy .",U.S. is a/an location entity .
""" U.S. decision-makers should understand that the signals they send today will have major ramifications for the Israeli approach to the Arrow program , "" says Marvin Feuerwerger in a 1991 study for the Washington Institute for Near East Policy .",Marvin Feuerwerger is a/an person entity .
""" U.S. decision-makers should understand that the signals they send today will have major ramifications for the Israeli approach to the Arrow program , "" says Marvin Feuerwerger in a 1991 study for the Washington Institute for Near East Policy .",1991 is a/an other entity .
""" U.S. decision-makers should understand that the signals they send today will have major ramifications for the Israeli approach to the Arrow program , "" says Marvin Feuerwerger in a 1991 study for the Washington Institute for Near East Policy .",Washington Institute for Near East Policy is a/an organization entity .
""" U.S. decision-makers should understand that the signals they send today will have major ramifications for the Israeli approach to the Arrow program , "" says Marvin Feuerwerger in a 1991 study for the Washington Institute for Near East Policy .",Institute for Near is not a named entity .
""" U.S. decision-makers should understand that the signals they send today will have major ramifications for the Israeli approach to the Arrow program , "" says Marvin Feuerwerger in a 1991 study for the Washington Institute for Near East Policy .",the Israeli approach to the Arrow program is not a named entity .
""" U.S. decision-makers should understand that the signals they send today will have major ramifications for the Israeli approach to the Arrow program , "" says Marvin Feuerwerger in a 1991 study for the Washington Institute for Near East Policy .",a 1991 study for the Washington is not a named entity .
""" U.S. decision-makers should understand that the signals they send today will have major ramifications for the Israeli approach to the Arrow program , "" says Marvin Feuerwerger in a 1991 study for the Washington Institute for Near East Policy .",a 1991 is not a named entity .
""" U.S. decision-makers should understand that the signals they send today will have major ramifications for the Israeli approach to the Arrow program , "" says Marvin Feuerwerger in a 1991 study for the Washington Institute for Near East Policy .",approach to the Arrow program is not a named entity .
""" U.S. decision-makers should understand that the signals they send today will have major ramifications for the Israeli approach to the Arrow program , "" says Marvin Feuerwerger in a 1991 study for the Washington Institute for Near East Policy .",", is not a named entity ."
""" U.S. decision-makers should understand that the signals they send today will have major ramifications for the Israeli approach to the Arrow program , "" says Marvin Feuerwerger in a 1991 study for the Washington Institute for Near East Policy .",a 1991 study for the Washington Institute for is not a named entity .
""" U.S. decision-makers should understand that the signals they send today will have major ramifications for the Israeli approach to the Arrow program , "" says Marvin Feuerwerger in a 1991 study for the Washington Institute for Near East Policy .",decision-makers should is not a named entity .
He disclosed that engineers at the St. Petersburg branch of the Atomenergoproekt institute were completing work on the design of a new NP-500 reactor .,St. Petersburg is a/an location entity .
He disclosed that engineers at the St. Petersburg branch of the Atomenergoproekt institute were completing work on the design of a new NP-500 reactor .,Atomenergoproekt institute is a/an organization entity .
He disclosed that engineers at the St. Petersburg branch of the Atomenergoproekt institute were completing work on the design of a new NP-500 reactor .,the St. Petersburg branch of the is not a named entity .
He disclosed that engineers at the St. Petersburg branch of the Atomenergoproekt institute were completing work on the design of a new NP-500 reactor .,at the is not a named entity .
He disclosed that engineers at the St. Petersburg branch of the Atomenergoproekt institute were completing work on the design of a new NP-500 reactor .,that engineers at the St. Petersburg is not a named entity .
He disclosed that engineers at the St. Petersburg branch of the Atomenergoproekt institute were completing work on the design of a new NP-500 reactor .,of the Atomenergoproekt institute were is not a named entity .
"But four years later , Wright said he would vote against Barry Goldwater because he felt the Arizona senator supported a ` ` slowdown on civil rights ' ' and would take a ` ` harder , more dangerous line on foreign relations. ' '",four years is a/an other entity .
"But four years later , Wright said he would vote against Barry Goldwater because he felt the Arizona senator supported a ` ` slowdown on civil rights ' ' and would take a ` ` harder , more dangerous line on foreign relations. ' '",Wright is a/an person entity .
"But four years later , Wright said he would vote against Barry Goldwater because he felt the Arizona senator supported a ` ` slowdown on civil rights ' ' and would take a ` ` harder , more dangerous line on foreign relations. ' '",Barry Goldwater is a/an person entity .
"But four years later , Wright said he would vote against Barry Goldwater because he felt the Arizona senator supported a ` ` slowdown on civil rights ' ' and would take a ` ` harder , more dangerous line on foreign relations. ' '",Arizona is a/an location entity .
"But four years later , Wright said he would vote against Barry Goldwater because he felt the Arizona senator supported a ` ` slowdown on civil rights ' ' and would take a ` ` harder , more dangerous line on foreign relations. ' '",on civil rights ' ' and is not a named entity .
"But four years later , Wright said he would vote against Barry Goldwater because he felt the Arizona senator supported a ` ` slowdown on civil rights ' ' and would take a ` ` harder , more dangerous line on foreign relations. ' '",the Arizona senator supported a ` ` is not a named entity .
"But four years later , Wright said he would vote against Barry Goldwater because he felt the Arizona senator supported a ` ` slowdown on civil rights ' ' and would take a ` ` harder , more dangerous line on foreign relations. ' '",senator supported a ` ` slowdown is not a named entity .
"But four years later , Wright said he would vote against Barry Goldwater because he felt the Arizona senator supported a ` ` slowdown on civil rights ' ' and would take a ` ` harder , more dangerous line on foreign relations. ' '","years later , is not a named entity ."
"But four years later , Wright said he would vote against Barry Goldwater because he felt the Arizona senator supported a ` ` slowdown on civil rights ' ' and would take a ` ` harder , more dangerous line on foreign relations. ' '",a ` ` slowdown on is not a named entity .
"But four years later , Wright said he would vote against Barry Goldwater because he felt the Arizona senator supported a ` ` slowdown on civil rights ' ' and would take a ` ` harder , more dangerous line on foreign relations. ' '",Arizona senator supported a ` ` slowdown is not a named entity .
"But four years later , Wright said he would vote against Barry Goldwater because he felt the Arizona senator supported a ` ` slowdown on civil rights ' ' and would take a ` ` harder , more dangerous line on foreign relations. ' '",a ` is not a named entity .
"But four years later , Wright said he would vote against Barry Goldwater because he felt the Arizona senator supported a ` ` slowdown on civil rights ' ' and would take a ` ` harder , more dangerous line on foreign relations. ' '","` harder , more dangerous line on foreign is not a named entity ."
"DIMA 's technical manager , engineer Jose Tulio Gomez , said that in addition to industrial wastes , the rivers are also contaminated by human waste , and diesel and petroleum residues discarded by a number of factories .",DIMA is a/an organization entity .
"DIMA 's technical manager , engineer Jose Tulio Gomez , said that in addition to industrial wastes , the rivers are also contaminated by human waste , and diesel and petroleum residues discarded by a number of factories .",Jose Tulio Gomez is a/an person entity .
"DIMA 's technical manager , engineer Jose Tulio Gomez , said that in addition to industrial wastes , the rivers are also contaminated by human waste , and diesel and petroleum residues discarded by a number of factories .",contaminated by is not a named entity .
"DIMA 's technical manager , engineer Jose Tulio Gomez , said that in addition to industrial wastes , the rivers are also contaminated by human waste , and diesel and petroleum residues discarded by a number of factories .","addition to industrial wastes , the is not a named entity ."
"DIMA 's technical manager , engineer Jose Tulio Gomez , said that in addition to industrial wastes , the rivers are also contaminated by human waste , and diesel and petroleum residues discarded by a number of factories .","engineer Jose Tulio Gomez , is not a named entity ."
"DIMA 's technical manager , engineer Jose Tulio Gomez , said that in addition to industrial wastes , the rivers are also contaminated by human waste , and diesel and petroleum residues discarded by a number of factories .","DIMA 's technical manager , engineer is not a named entity ."
"Besides , the captain said , the black-eyed peas matter , as it was termed in the papers , was of interest to the president of the black-eyed pea industry as well as to Gen. William C. Westmoreland , the commander of U.S. forces in Vietnam and a South Carolina native .",Gen. William C. Westmoreland is a/an person entity .
"Besides , the captain said , the black-eyed peas matter , as it was termed in the papers , was of interest to the president of the black-eyed pea industry as well as to Gen. William C. Westmoreland , the commander of U.S. forces in Vietnam and a South Carolina native .",U.S. is a/an location entity .
"Besides , the captain said , the black-eyed peas matter , as it was termed in the papers , was of interest to the president of the black-eyed pea industry as well as to Gen. William C. Westmoreland , the commander of U.S. forces in Vietnam and a South Carolina native .",Vietnam is a/an location entity .
"Besides , the captain said , the black-eyed peas matter , as it was termed in the papers , was of interest to the president of the black-eyed pea industry as well as to Gen. William C. Westmoreland , the commander of U.S. forces in Vietnam and a South Carolina native .",South Carolina is a/an location entity .
"Besides , the captain said , the black-eyed peas matter , as it was termed in the papers , was of interest to the president of the black-eyed pea industry as well as to Gen. William C. Westmoreland , the commander of U.S. forces in Vietnam and a South Carolina native .",as to is not a named entity .
"Besides , the captain said , the black-eyed peas matter , as it was termed in the papers , was of interest to the president of the black-eyed pea industry as well as to Gen. William C. Westmoreland , the commander of U.S. forces in Vietnam and a South Carolina native .",captain said is not a named entity .
"Besides , the captain said , the black-eyed peas matter , as it was termed in the papers , was of interest to the president of the black-eyed pea industry as well as to Gen. William C. Westmoreland , the commander of U.S. forces in Vietnam and a South Carolina native .","William C. Westmoreland , the commander of is not a named entity ."
"Besides , the captain said , the black-eyed peas matter , as it was termed in the papers , was of interest to the president of the black-eyed pea industry as well as to Gen. William C. Westmoreland , the commander of U.S. forces in Vietnam and a South Carolina native .","Gen. William C. Westmoreland , the commander is not a named entity ."
"Besides , the captain said , the black-eyed peas matter , as it was termed in the papers , was of interest to the president of the black-eyed pea industry as well as to Gen. William C. Westmoreland , the commander of U.S. forces in Vietnam and a South Carolina native .",interest to is not a named entity .
"Besides , the captain said , the black-eyed peas matter , as it was termed in the papers , was of interest to the president of the black-eyed pea industry as well as to Gen. William C. Westmoreland , the commander of U.S. forces in Vietnam and a South Carolina native .",industry as is not a named entity .
"Besides , the captain said , the black-eyed peas matter , as it was termed in the papers , was of interest to the president of the black-eyed pea industry as well as to Gen. William C. Westmoreland , the commander of U.S. forces in Vietnam and a South Carolina native .",well as is not a named entity .
"Besides , the captain said , the black-eyed peas matter , as it was termed in the papers , was of interest to the president of the black-eyed pea industry as well as to Gen. William C. Westmoreland , the commander of U.S. forces in Vietnam and a South Carolina native .",well as to Gen. William C. Westmoreland is not a named entity .
"` ` Please don 't execute him , please , ' ' said Mrs. Cicippio , who works at the American Embassy in east Beirut.",Mrs. Cicippio is a/an person entity .
"` ` Please don 't execute him , please , ' ' said Mrs. Cicippio , who works at the American Embassy in east Beirut.",American Embassy is a/an location entity .
"` ` Please don 't execute him , please , ' ' said Mrs. Cicippio , who works at the American Embassy in east Beirut.",Beirut. is a/an location entity .
