sentence,prompt
CRICKET - LEICESTERSHIRE TAKE OVER AT TOP AFTER INNINGS VICTORY .,"TL;DR , LEICESTERSHIRE is an organization entity ."
"We are comfortable the revolution has taken care of us "","" improved our lives and given us capabilites "","" """""""" Samer Ammar Soliman "","" 42 "","" told Reuters as he came out of Friday prayers .","TL;DR , the revolution has taken care of us is not a named entity ."
"But some Libyans have begun to show their discontent in the country 's east "","" which has become a hotbed of militant violence .","TL;DR , Libyans is an other entity ."
"But some Libyans have begun to show their discontent in the country 's east "","" which has become a hotbed of militant violence .","TL;DR , have begun to show their discontent in the is not a named entity ."
"But some Libyans have begun to show their discontent in the country 's east "","" which has become a hotbed of militant violence .","TL;DR , 's east is not a named entity ."
Tripoli-based diplomats and exiled opponents said Gaddafi 's airforce blasted in July rebel strongholds in the mountainous Jebel al-Akhdar region .,"TL;DR , Tripoli-based is an other entity ."
Tripoli-based diplomats and exiled opponents said Gaddafi 's airforce blasted in July rebel strongholds in the mountainous Jebel al-Akhdar region .,"TL;DR , Gaddafi is a person entity ."
Tripoli-based diplomats and exiled opponents said Gaddafi 's airforce blasted in July rebel strongholds in the mountainous Jebel al-Akhdar region .,"TL;DR , Jebel al-Akhdar is a location entity ."
Tripoli-based diplomats and exiled opponents said Gaddafi 's airforce blasted in July rebel strongholds in the mountainous Jebel al-Akhdar region .,"TL;DR , and exiled opponents said Gaddafi 's is not a named entity ."
Tripoli-based diplomats and exiled opponents said Gaddafi 's airforce blasted in July rebel strongholds in the mountainous Jebel al-Akhdar region .,"TL;DR , mountainous Jebel al-Akhdar is not a named entity ."
Tripoli-based diplomats and exiled opponents said Gaddafi 's airforce blasted in July rebel strongholds in the mountainous Jebel al-Akhdar region .,"TL;DR , Tripoli-based diplomats and exiled opponents said Gaddafi is not a named entity ."
Tripoli-based diplomats and exiled opponents said Gaddafi 's airforce blasted in July rebel strongholds in the mountainous Jebel al-Akhdar region .,"TL;DR , the mountainous Jebel al-Akhdar region is not a named entity ."
Tripoli-based diplomats and exiled opponents said Gaddafi 's airforce blasted in July rebel strongholds in the mountainous Jebel al-Akhdar region .,"TL;DR , in July rebel strongholds in the mountainous is not a named entity ."
Tripoli-based diplomats and exiled opponents said Gaddafi 's airforce blasted in July rebel strongholds in the mountainous Jebel al-Akhdar region .,"TL;DR , exiled opponents is not a named entity ."
Travellers arriving in Egypt say militants and police officers clash regularly in Benghazi .,"TL;DR , Egypt is a location entity ."
Travellers arriving in Egypt say militants and police officers clash regularly in Benghazi .,"TL;DR , Benghazi is a location entity ."
Travellers arriving in Egypt say militants and police officers clash regularly in Benghazi .,"TL;DR , say militants and police officers clash regularly is not a named entity ."
Travellers arriving in Egypt say militants and police officers clash regularly in Benghazi .,"TL;DR , say militants and is not a named entity ."
Travellers arriving in Egypt say militants and police officers clash regularly in Benghazi .,"TL;DR , Travellers arriving in Egypt say militants and is not a named entity ."
Travellers arriving in Egypt say militants and police officers clash regularly in Benghazi .,"TL;DR , and police officers clash regularly is not a named entity ."
At least 20 people were killed in the capital in early July after bodyguards loyal to Gaddafi 's sons fired at spectators of a football match who were chanting subversive slogans .,"TL;DR , Gaddafi is a person entity ."
At least 20 people were killed in the capital in early July after bodyguards loyal to Gaddafi 's sons fired at spectators of a football match who were chanting subversive slogans .,"TL;DR , least 20 people were is not a named entity ."
At least 20 people were killed in the capital in early July after bodyguards loyal to Gaddafi 's sons fired at spectators of a football match who were chanting subversive slogans .,"TL;DR , in early July after bodyguards loyal to Gaddafi is not a named entity ."
"Gaddafi has dismissed any unrest as the work of foreigners "","" and last year deported thousands of Sudanese and Egyptian workers .","TL;DR , Gaddafi is a person entity ."
"Gaddafi has dismissed any unrest as the work of foreigners "","" and last year deported thousands of Sudanese and Egyptian workers .","TL;DR , Sudanese is an other entity ."
"Gaddafi has dismissed any unrest as the work of foreigners "","" and last year deported thousands of Sudanese and Egyptian workers .","TL;DR , Egyptian is an other entity ."
"Gaddafi has dismissed any unrest as the work of foreigners "","" and last year deported thousands of Sudanese and Egyptian workers .","TL;DR , foreigners "","" and last year deported is not a named entity ."
"Gaddafi has dismissed any unrest as the work of foreigners "","" and last year deported thousands of Sudanese and Egyptian workers .","TL;DR , last year deported thousands of Sudanese and is not a named entity ."
"Gaddafi has dismissed any unrest as the work of foreigners "","" and last year deported thousands of Sudanese and Egyptian workers .","TL;DR , dismissed is not a named entity ."
"Gaddafi has dismissed any unrest as the work of foreigners "","" and last year deported thousands of Sudanese and Egyptian workers .","TL;DR , thousands of Sudanese is not a named entity ."
"Gaddafi has dismissed any unrest as the work of foreigners "","" and last year deported thousands of Sudanese and Egyptian workers .","TL;DR , foreigners "","" and last year is not a named entity ."
"Gaddafi has dismissed any unrest as the work of foreigners "","" and last year deported thousands of Sudanese and Egyptian workers .","TL;DR , year deported thousands of Sudanese and Egyptian workers is not a named entity ."
Twilight zone for Wall Street as political race heats up .,"TL;DR , Wall Street is a location entity ."
Twilight zone for Wall Street as political race heats up .,"TL;DR , for Wall Street is not a named entity ."
Twilight zone for Wall Street as political race heats up .,"TL;DR , for Wall Street as political race heats is not a named entity ."
Pierre Belec,"TL;DR , Pierre Belec is a person entity ."
Pierre Belec,"TL;DR , Belec is not a named entity ."
Pierre Belec,"TL;DR , Pierre is not a named entity ."
NEW YORK 1996-08-30,"TL;DR , NEW YORK is a location entity ."
NEW YORK 1996-08-30,"TL;DR , NEW is not a named entity ."
NEW YORK 1996-08-30,"TL;DR , NEW YORK 1996-08-30 is not a named entity ."
"For Wall Street "","" this is the season to be cautious as the presidential contest puts the stock market in the twilight zone .","TL;DR , Wall Street is a location entity ."
"For Wall Street "","" this is the season to be cautious as the presidential contest puts the stock market in the twilight zone .","TL;DR , Wall Street "","" this is the season to is not a named entity ."
"For Wall Street "","" this is the season to be cautious as the presidential contest puts the stock market in the twilight zone .","TL;DR , is the season to be cautious as is not a named entity ."
"President Clinton "","" Bob Dole and Ross Perot are hitting the road now that the partying is over "","" and people who have billions of dollars invested in stocks were bracing for political promises that could have an impact on their wealth .","TL;DR , Clinton is a person entity ."
"President Clinton "","" Bob Dole and Ross Perot are hitting the road now that the partying is over "","" and people who have billions of dollars invested in stocks were bracing for political promises that could have an impact on their wealth .","TL;DR , Bob Dole is a person entity ."
"President Clinton "","" Bob Dole and Ross Perot are hitting the road now that the partying is over "","" and people who have billions of dollars invested in stocks were bracing for political promises that could have an impact on their wealth .","TL;DR , Ross Perot is a person entity ."
"President Clinton "","" Bob Dole and Ross Perot are hitting the road now that the partying is over "","" and people who have billions of dollars invested in stocks were bracing for political promises that could have an impact on their wealth .","TL;DR , dollars invested in stocks were bracing for political is not a named entity ."
"President Clinton "","" Bob Dole and Ross Perot are hitting the road now that the partying is over "","" and people who have billions of dollars invested in stocks were bracing for political promises that could have an impact on their wealth .","TL;DR , and Ross Perot are hitting the is not a named entity ."
"President Clinton "","" Bob Dole and Ross Perot are hitting the road now that the partying is over "","" and people who have billions of dollars invested in stocks were bracing for political promises that could have an impact on their wealth .","TL;DR , in stocks were bracing for political promises is not a named entity ."
"President Clinton "","" Bob Dole and Ross Perot are hitting the road now that the partying is over "","" and people who have billions of dollars invested in stocks were bracing for political promises that could have an impact on their wealth .","TL;DR , over "","" and people who have billions is not a named entity ."
"President Clinton "","" Bob Dole and Ross Perot are hitting the road now that the partying is over "","" and people who have billions of dollars invested in stocks were bracing for political promises that could have an impact on their wealth .","TL;DR , bracing for political promises that could is not a named entity ."
"President Clinton "","" Bob Dole and Ross Perot are hitting the road now that the partying is over "","" and people who have billions of dollars invested in stocks were bracing for political promises that could have an impact on their wealth .","TL;DR , bracing for political promises is not a named entity ."
"Analysts believe that the candidates will add to the market 's list of uncertainties "","" which already includes the question of whether the Federal Reserve will raise interest rates to cool economic growth .","TL;DR , Federal Reserve is an organization entity ."
"Analysts believe that the candidates will add to the market 's list of uncertainties "","" which already includes the question of whether the Federal Reserve will raise interest rates to cool economic growth .","TL;DR , rates to cool economic growth . is not a named entity ."
"Analysts believe that the candidates will add to the market 's list of uncertainties "","" which already includes the question of whether the Federal Reserve will raise interest rates to cool economic growth .","TL;DR , which already includes is not a named entity ."
""""""""" The worst thing that could happen for financial markets is that if Clinton and Dole start to trade shots in the middle of the ring with one-upmanship "","" """""""" said Hugh Johnson "","" chief investment officer at First Albany Corp. """""""" That 's when Wall Street will need to worry . """"""""","TL;DR , Clinton is a person entity ."
""""""""" The worst thing that could happen for financial markets is that if Clinton and Dole start to trade shots in the middle of the ring with one-upmanship "","" """""""" said Hugh Johnson "","" chief investment officer at First Albany Corp. """""""" That 's when Wall Street will need to worry . """"""""","TL;DR , Dole is a person entity ."
""""""""" The worst thing that could happen for financial markets is that if Clinton and Dole start to trade shots in the middle of the ring with one-upmanship "","" """""""" said Hugh Johnson "","" chief investment officer at First Albany Corp. """""""" That 's when Wall Street will need to worry . """"""""","TL;DR , Hugh Johnson is a person entity ."
""""""""" The worst thing that could happen for financial markets is that if Clinton and Dole start to trade shots in the middle of the ring with one-upmanship "","" """""""" said Hugh Johnson "","" chief investment officer at First Albany Corp. """""""" That 's when Wall Street will need to worry . """"""""","TL;DR , First Albany Corp. is an organization entity ."
""""""""" The worst thing that could happen for financial markets is that if Clinton and Dole start to trade shots in the middle of the ring with one-upmanship "","" """""""" said Hugh Johnson "","" chief investment officer at First Albany Corp. """""""" That 's when Wall Street will need to worry . """"""""","TL;DR , Wall Street is a location entity ."
""""""""" The worst thing that could happen for financial markets is that if Clinton and Dole start to trade shots in the middle of the ring with one-upmanship "","" """""""" said Hugh Johnson "","" chief investment officer at First Albany Corp. """""""" That 's when Wall Street will need to worry . """"""""","TL;DR , Hugh Johnson "","" is not a named entity ."
""""""""" The worst thing that could happen for financial markets is that if Clinton and Dole start to trade shots in the middle of the ring with one-upmanship "","" """""""" said Hugh Johnson "","" chief investment officer at First Albany Corp. """""""" That 's when Wall Street will need to worry . """"""""","TL;DR , one-upmanship is not a named entity ."
""""""""" The worst thing that could happen for financial markets is that if Clinton and Dole start to trade shots in the middle of the ring with one-upmanship "","" """""""" said Hugh Johnson "","" chief investment officer at First Albany Corp. """""""" That 's when Wall Street will need to worry . """"""""","TL;DR , need to is not a named entity ."
""""""""" The worst thing that could happen for financial markets is that if Clinton and Dole start to trade shots in the middle of the ring with one-upmanship "","" """""""" said Hugh Johnson "","" chief investment officer at First Albany Corp. """""""" That 's when Wall Street will need to worry . """"""""","TL;DR , and is not a named entity ."
""""""""" The worst thing that could happen for financial markets is that if Clinton and Dole start to trade shots in the middle of the ring with one-upmanship "","" """""""" said Hugh Johnson "","" chief investment officer at First Albany Corp. """""""" That 's when Wall Street will need to worry . """"""""","TL;DR , to is not a named entity ."
""""""""" The worst thing that could happen for financial markets is that if Clinton and Dole start to trade shots in the middle of the ring with one-upmanship "","" """""""" said Hugh Johnson "","" chief investment officer at First Albany Corp. """""""" That 's when Wall Street will need to worry . """"""""","TL;DR , thing that could happen for financial markets is is not a named entity ."
""""""""" The worst thing that could happen for financial markets is that if Clinton and Dole start to trade shots in the middle of the ring with one-upmanship "","" """""""" said Hugh Johnson "","" chief investment officer at First Albany Corp. """""""" That 's when Wall Street will need to worry . """"""""","TL;DR , thing that could happen for financial markets is not a named entity ."
""""""""" The worst thing that could happen for financial markets is that if Clinton and Dole start to trade shots in the middle of the ring with one-upmanship "","" """""""" said Hugh Johnson "","" chief investment officer at First Albany Corp. """""""" That 's when Wall Street will need to worry . """"""""","TL;DR , with one-upmanship is not a named entity ."
""""""""" The worst thing that could happen for financial markets is that if Clinton and Dole start to trade shots in the middle of the ring with one-upmanship "","" """""""" said Hugh Johnson "","" chief investment officer at First Albany Corp. """""""" That 's when Wall Street will need to worry . """"""""","TL;DR , happen for financial markets is that if is not a named entity ."
""""""""" The worst thing that could happen for financial markets is that if Clinton and Dole start to trade shots in the middle of the ring with one-upmanship "","" """""""" said Hugh Johnson "","" chief investment officer at First Albany Corp. """""""" That 's when Wall Street will need to worry . """"""""","TL;DR , with one-upmanship "","" """""""" said is not a named entity ."
"This week "","" the market weighed Dole 's proposal to lower federal income taxes by 15 percent across the board "","" a package that carries a price tag of $ 548 billion .","TL;DR , Dole is a person entity ."
"This week "","" the market weighed Dole 's proposal to lower federal income taxes by 15 percent across the board "","" a package that carries a price tag of $ 548 billion .","TL;DR , federal income taxes by 15 is not a named entity ."
"This week "","" the market weighed Dole 's proposal to lower federal income taxes by 15 percent across the board "","" a package that carries a price tag of $ 548 billion .","TL;DR , a package is not a named entity ."
Clinton proposes an $ 8.4 billion re-election agenda that would spare most home-sellers from capital gains taxes and give employers tax incentives to hire people off the welfare rolls .,"TL;DR , Clinton is a person entity ."
Clinton proposes an $ 8.4 billion re-election agenda that would spare most home-sellers from capital gains taxes and give employers tax incentives to hire people off the welfare rolls .,"TL;DR , would spare most home-sellers from is not a named entity ."
Clinton proposes an $ 8.4 billion re-election agenda that would spare most home-sellers from capital gains taxes and give employers tax incentives to hire people off the welfare rolls .,"TL;DR , give employers tax is not a named entity ."
"Clinton claims Dole 's plan would increase the deficit "","" while the White House said some corporate taxes would be raised to offset the cost of the president 's plan .","TL;DR , Clinton is a person entity ."
"Clinton claims Dole 's plan would increase the deficit "","" while the White House said some corporate taxes would be raised to offset the cost of the president 's plan .","TL;DR , Dole is a person entity ."
"Clinton claims Dole 's plan would increase the deficit "","" while the White House said some corporate taxes would be raised to offset the cost of the president 's plan .","TL;DR , White House is a location entity ."
"Clinton claims Dole 's plan would increase the deficit "","" while the White House said some corporate taxes would be raised to offset the cost of the president 's plan .","TL;DR , 's plan would increase the is not a named entity ."
"Clinton claims Dole 's plan would increase the deficit "","" while the White House said some corporate taxes would be raised to offset the cost of the president 's plan .","TL;DR , taxes would be raised to is not a named entity ."
"Clinton claims Dole 's plan would increase the deficit "","" while the White House said some corporate taxes would be raised to offset the cost of the president 's plan .","TL;DR , of the president 's plan . is not a named entity ."
"Clinton claims Dole 's plan would increase the deficit "","" while the White House said some corporate taxes would be raised to offset the cost of the president 's plan .","TL;DR , 's plan would increase the deficit "","" is not a named entity ."
"Clinton claims Dole 's plan would increase the deficit "","" while the White House said some corporate taxes would be raised to offset the cost of the president 's plan .","TL;DR , claims Dole 's is not a named entity ."
"Clinton claims Dole 's plan would increase the deficit "","" while the White House said some corporate taxes would be raised to offset the cost of the president 's plan .","TL;DR , Dole 's plan would increase the deficit is not a named entity ."
The experts said there are some unusual risks for the market from this year 's political season because the rush to promise tax cuts to win votes could upset Wall Street 's expectations that Washington will balance the budget .,"TL;DR , Wall Street is a location entity ."
The experts said there are some unusual risks for the market from this year 's political season because the rush to promise tax cuts to win votes could upset Wall Street 's expectations that Washington will balance the budget .,"TL;DR , Washington is a location entity ."
The experts said there are some unusual risks for the market from this year 's political season because the rush to promise tax cuts to win votes could upset Wall Street 's expectations that Washington will balance the budget .,"TL;DR , to is not a named entity ."
The experts said there are some unusual risks for the market from this year 's political season because the rush to promise tax cuts to win votes could upset Wall Street 's expectations that Washington will balance the budget .,"TL;DR , upset Wall Street 's expectations that Washington will is not a named entity ."
The experts said there are some unusual risks for the market from this year 's political season because the rush to promise tax cuts to win votes could upset Wall Street 's expectations that Washington will balance the budget .,"TL;DR , rush to promise is not a named entity ."
The experts said there are some unusual risks for the market from this year 's political season because the rush to promise tax cuts to win votes could upset Wall Street 's expectations that Washington will balance the budget .,"TL;DR , risks for the market from this year is not a named entity ."
""""""""" The stock market will have to edit the promises and then do a probability study on those edited promises "","" """""""" said John Geraghty at the consulting firm North American Equity Services .","TL;DR , John Geraghty is a person entity ."
""""""""" The stock market will have to edit the promises and then do a probability study on those edited promises "","" """""""" said John Geraghty at the consulting firm North American Equity Services .","TL;DR , North American Equity Services is an organization entity ."
""""""""" The stock market will have to edit the promises and then do a probability study on those edited promises "","" """""""" said John Geraghty at the consulting firm North American Equity Services .","TL;DR , then do is not a named entity ."
""""""""" The stock market will have to edit the promises and then do a probability study on those edited promises "","" """""""" said John Geraghty at the consulting firm North American Equity Services .","TL;DR , promises "","" is not a named entity ."
""""""""" The stock market will have to edit the promises and then do a probability study on those edited promises "","" """""""" said John Geraghty at the consulting firm North American Equity Services .","TL;DR , The stock market is not a named entity ."
""""""""" The stock market will have to edit the promises and then do a probability study on those edited promises "","" """""""" said John Geraghty at the consulting firm North American Equity Services .","TL;DR , at the consulting is not a named entity ."
"Ronald Reagan 's tax cut won him a second four-year term in the White House in 1984 "","" while Democrat Walter Mondale "","" who promised higher taxes "","" lost .","TL;DR , Ronald Reagan is a person entity ."
"Ronald Reagan 's tax cut won him a second four-year term in the White House in 1984 "","" while Democrat Walter Mondale "","" who promised higher taxes "","" lost .","TL;DR , White House is a location entity ."
"Ronald Reagan 's tax cut won him a second four-year term in the White House in 1984 "","" while Democrat Walter Mondale "","" who promised higher taxes "","" lost .","TL;DR , Democrat is an other entity ."
"Ronald Reagan 's tax cut won him a second four-year term in the White House in 1984 "","" while Democrat Walter Mondale "","" who promised higher taxes "","" lost .","TL;DR , Walter Mondale is a person entity ."
"Ronald Reagan 's tax cut won him a second four-year term in the White House in 1984 "","" while Democrat Walter Mondale "","" who promised higher taxes "","" lost .","TL;DR , him a second four-year is not a named entity ."
"Ronald Reagan 's tax cut won him a second four-year term in the White House in 1984 "","" while Democrat Walter Mondale "","" who promised higher taxes "","" lost .","TL;DR , term is not a named entity ."
"Ronald Reagan 's tax cut won him a second four-year term in the White House in 1984 "","" while Democrat Walter Mondale "","" who promised higher taxes "","" lost .","TL;DR , "","" is not a named entity ."
"Ronald Reagan 's tax cut won him a second four-year term in the White House in 1984 "","" while Democrat Walter Mondale "","" who promised higher taxes "","" lost .","TL;DR , "","" lost is not a named entity ."
"Ronald Reagan 's tax cut won him a second four-year term in the White House in 1984 "","" while Democrat Walter Mondale "","" who promised higher taxes "","" lost .","TL;DR , cut is not a named entity ."
"Ronald Reagan 's tax cut won him a second four-year term in the White House in 1984 "","" while Democrat Walter Mondale "","" who promised higher taxes "","" lost .","TL;DR , 1984 "","" while Democrat Walter Mondale is not a named entity ."
"Ronald Reagan 's tax cut won him a second four-year term in the White House in 1984 "","" while Democrat Walter Mondale "","" who promised higher taxes "","" lost .","TL;DR , Ronald Reagan 's tax cut won is not a named entity ."
"Ronald Reagan 's tax cut won him a second four-year term in the White House in 1984 "","" while Democrat Walter Mondale "","" who promised higher taxes "","" lost .","TL;DR , a second four-year term is not a named entity ."
George Bush became president in 1988 on his no-new-tax campaign and Clinton won in 1992 with a promise to fatten workers ' paychecks .,"TL;DR , George Bush is a person entity ."
George Bush became president in 1988 on his no-new-tax campaign and Clinton won in 1992 with a promise to fatten workers ' paychecks .,"TL;DR , Clinton is a person entity ."
George Bush became president in 1988 on his no-new-tax campaign and Clinton won in 1992 with a promise to fatten workers ' paychecks .,"TL;DR , a promise to fatten workers ' paychecks . is not a named entity ."
George Bush became president in 1988 on his no-new-tax campaign and Clinton won in 1992 with a promise to fatten workers ' paychecks .,"TL;DR , on his no-new-tax campaign and is not a named entity ."
George Bush became president in 1988 on his no-new-tax campaign and Clinton won in 1992 with a promise to fatten workers ' paychecks .,"TL;DR , became president in 1988 on his no-new-tax is not a named entity ."
George Bush became president in 1988 on his no-new-tax campaign and Clinton won in 1992 with a promise to fatten workers ' paychecks .,"TL;DR , to fatten workers ' paychecks . is not a named entity ."
"The trick "","" they said "","" will be for the candidates to continue to convince Wall Street that the Treasury 's 30-year bond -- the most closely-watched interest rate -- will fall to between 4 percent and 5 percent by the end of the decade .","TL;DR , Wall Street is a location entity ."
"The trick "","" they said "","" will be for the candidates to continue to convince Wall Street that the Treasury 's 30-year bond -- the most closely-watched interest rate -- will fall to between 4 percent and 5 percent by the end of the decade .","TL;DR , Treasury is an organization entity ."
"The trick "","" they said "","" will be for the candidates to continue to convince Wall Street that the Treasury 's 30-year bond -- the most closely-watched interest rate -- will fall to between 4 percent and 5 percent by the end of the decade .","TL;DR , and 5 percent by is not a named entity ."
"The trick "","" they said "","" will be for the candidates to continue to convince Wall Street that the Treasury 's 30-year bond -- the most closely-watched interest rate -- will fall to between 4 percent and 5 percent by the end of the decade .","TL;DR , 's 30-year bond -- is not a named entity ."
"The trick "","" they said "","" will be for the candidates to continue to convince Wall Street that the Treasury 's 30-year bond -- the most closely-watched interest rate -- will fall to between 4 percent and 5 percent by the end of the decade .","TL;DR , they said is not a named entity ."
"The trick "","" they said "","" will be for the candidates to continue to convince Wall Street that the Treasury 's 30-year bond -- the most closely-watched interest rate -- will fall to between 4 percent and 5 percent by the end of the decade .","TL;DR , "","" they is not a named entity ."
Johnson said that long-term interest rates have already been spooked by the election .,"TL;DR , Johnson is a person entity ."
Johnson said that long-term interest rates have already been spooked by the election .,"TL;DR , said that long-term interest rates have already been is not a named entity ."
Johnson said that long-term interest rates have already been spooked by the election .,"TL;DR , said is not a named entity ."
"But the market stalled this summer after the Dow Jones industrial average set a record high of ""5,778.00"" points on May 22 .","TL;DR , Dow Jones is an other entity ."
"But the market stalled this summer after the Dow Jones industrial average set a record high of ""5,778.00"" points on May 22 .","TL;DR , set a is not a named entity ."
"But the market stalled this summer after the Dow Jones industrial average set a record high of ""5,778.00"" points on May 22 .","TL;DR , But the market is not a named entity ."
""""""""" The market does n't seem to be able to make new highs and it has been back and forth in a fairly horizontal mode which looks like a holding pattern "","" """""""" said Geraghty .","TL;DR , Geraghty is a person entity ."
""""""""" The market does n't seem to be able to make new highs and it has been back and forth in a fairly horizontal mode which looks like a holding pattern "","" """""""" said Geraghty .","TL;DR , "","" is not a named entity ."
""""""""" The market does n't seem to be able to make new highs and it has been back and forth in a fairly horizontal mode which looks like a holding pattern "","" """""""" said Geraghty .","TL;DR , make new highs and it has been back is not a named entity ."
"He said the market reflects the political uncertainty "","" now that Dole has sharply narrowed the gap with Clinton in the polls .","TL;DR , Dole is a person entity ."
"He said the market reflects the political uncertainty "","" now that Dole has sharply narrowed the gap with Clinton in the polls .","TL;DR , Clinton is a person entity ."
"He said the market reflects the political uncertainty "","" now that Dole has sharply narrowed the gap with Clinton in the polls .","TL;DR , Clinton in the polls is not a named entity ."
"He said the market reflects the political uncertainty "","" now that Dole has sharply narrowed the gap with Clinton in the polls .","TL;DR , the market reflects the is not a named entity ."
"He said the market reflects the political uncertainty "","" now that Dole has sharply narrowed the gap with Clinton in the polls .","TL;DR , narrowed the gap with is not a named entity ."
"He said the market reflects the political uncertainty "","" now that Dole has sharply narrowed the gap with Clinton in the polls .","TL;DR , now that Dole has sharply narrowed the is not a named entity ."
Geraghty said that the one thing that could completely turn the election around are new findings in the Whitewater scandal that would damage the Clintons .,"TL;DR , Geraghty is a person entity ."
Geraghty said that the one thing that could completely turn the election around are new findings in the Whitewater scandal that would damage the Clintons .,"TL;DR , Whitewater is a location entity ."
Geraghty said that the one thing that could completely turn the election around are new findings in the Whitewater scandal that would damage the Clintons .,"TL;DR , Clintons is a person entity ."
Geraghty said that the one thing that could completely turn the election around are new findings in the Whitewater scandal that would damage the Clintons .,"TL;DR , one thing that could completely turn the is not a named entity ."
Geraghty said that the one thing that could completely turn the election around are new findings in the Whitewater scandal that would damage the Clintons .,"TL;DR , turn the election around are new findings in is not a named entity ."
Geraghty said that the one thing that could completely turn the election around are new findings in the Whitewater scandal that would damage the Clintons .,"TL;DR , one thing that could is not a named entity ."
Geraghty said that the one thing that could completely turn the election around are new findings in the Whitewater scandal that would damage the Clintons .,"TL;DR , could completely turn the election around are is not a named entity ."
Geraghty said that the one thing that could completely turn the election around are new findings in the Whitewater scandal that would damage the Clintons .,"TL;DR , turn the is not a named entity ."
Geraghty said that the one thing that could completely turn the election around are new findings in the Whitewater scandal that would damage the Clintons .,"TL;DR , that would damage the Clintons is not a named entity ."
""""""""" Stocks are on a delicate edge because if something happens that looks like it could upset the presidency "","" it could throw the political and "","" to some extent the economic "","" process into chaos "","" """""""" Geraghty said .","TL;DR , Geraghty is a person entity ."
""""""""" Stocks are on a delicate edge because if something happens that looks like it could upset the presidency "","" it could throw the political and "","" to some extent the economic "","" process into chaos "","" """""""" Geraghty said .","TL;DR , because is not a named entity ."
""""""""" Stocks are on a delicate edge because if something happens that looks like it could upset the presidency "","" it could throw the political and "","" to some extent the economic "","" process into chaos "","" """""""" Geraghty said .","TL;DR , could throw the political and "","" to some is not a named entity ."
"Right now "","" Wall Street is pondering the candidates .","TL;DR , Wall Street is a location entity ."
"Right now "","" Wall Street is pondering the candidates .","TL;DR , candidates is not a named entity ."
"Right now "","" Wall Street is pondering the candidates .","TL;DR , the candidates . is not a named entity ."
""""""""" We have an election where there are so many unknown variables that most people will probably want to hold fire "","" and even take the chance that they will have to pay higher prices for stocks after the November election "","" than take the risk that a shock to the system will hurt the stock market "","" """""""" Geraghty said .","TL;DR , Geraghty is a person entity ."
""""""""" We have an election where there are so many unknown variables that most people will probably want to hold fire "","" and even take the chance that they will have to pay higher prices for stocks after the November election "","" than take the risk that a shock to the system will hurt the stock market "","" """""""" Geraghty said .","TL;DR , take the risk that a shock to the is not a named entity ."
""""""""" We have an election where there are so many unknown variables that most people will probably want to hold fire "","" and even take the chance that they will have to pay higher prices for stocks after the November election "","" than take the risk that a shock to the system will hurt the stock market "","" """""""" Geraghty said .","TL;DR , the November election "","" than take the is not a named entity ."
"On Friday "","" the Dow Jones index closed down 31.44 points at ""5,616.21"" .","TL;DR , Dow Jones is an other entity ."
"On Friday "","" the Dow Jones index closed down 31.44 points at ""5,616.21"" .","TL;DR , down 31.44 points at ""5,616.21"" is not a named entity ."
"On Friday "","" the Dow Jones index closed down 31.44 points at ""5,616.21"" .","TL;DR , ""5,616.21"" . is not a named entity ."
"The Nasdaq composite index closed 3.53 points lower Friday at ""1,141.50"" .","TL;DR , Nasdaq is an other entity ."
"The Nasdaq composite index closed 3.53 points lower Friday at ""1,141.50"" .","TL;DR , points lower is not a named entity ."
"The Nasdaq composite index closed 3.53 points lower Friday at ""1,141.50"" .","TL;DR , at ""1,141.50"" is not a named entity ."
"The Standard & Poor 's index of 500 stocks was off 5.41 points at 651.99 "","" down 15.03 points for the week .","TL;DR , Standard & Poor is an organization entity ."
"The Standard & Poor 's index of 500 stocks was off 5.41 points at 651.99 "","" down 15.03 points for the week .","TL;DR , 500 stocks was is not a named entity ."
"The Standard & Poor 's index of 500 stocks was off 5.41 points at 651.99 "","" down 15.03 points for the week .","TL;DR , 500 stocks was off 5.41 points is not a named entity ."
"The American Stock Exchange index was down 1.66 points at 559.68 "","" and was off 1.26 for the week .","TL;DR , American Stock Exchange is an organization entity ."
"The American Stock Exchange index was down 1.66 points at 559.68 "","" and was off 1.26 for the week .","TL;DR , Exchange is not a named entity ."
"The American Stock Exchange index was down 1.66 points at 559.68 "","" and was off 1.26 for the week .","TL;DR , American Stock Exchange index was down 1.66 is not a named entity ."
Glenn Somerville,"TL;DR , Glenn Somerville is a person entity ."
Glenn Somerville,"TL;DR , Somerville is not a named entity ."
Glenn Somerville,"TL;DR , Glenn is not a named entity ."
WASHINGTON 1996-08-30,"TL;DR , WASHINGTON is a location entity ."
WASHINGTON 1996-08-30,"TL;DR , 1996-08-30 is not a named entity ."
WASHINGTON 1996-08-30,"TL;DR , WASHINGTON 1996-08-30 is not a named entity ."
"Factory orders rose in July and manufacturing surged in the Midwest in August "","" reports said Friday "","" sparking worries about inflation that battered financial markets for a second straight day .","TL;DR , Midwest is a location entity ."
"Factory orders rose in July and manufacturing surged in the Midwest in August "","" reports said Friday "","" sparking worries about inflation that battered financial markets for a second straight day .","TL;DR , Factory orders rose in July and manufacturing surged is not a named entity ."
"Factory orders rose in July and manufacturing surged in the Midwest in August "","" reports said Friday "","" sparking worries about inflation that battered financial markets for a second straight day .","TL;DR , orders rose in July and manufacturing surged is not a named entity ."
