sentence,prompt
"Andrews Lock and Dam , Henry County , Ala. ;","TL;DR , Andrews Lock and Dam is a location entity ."
Redman said two employees of the U.S. Immigration and Naturalization Service would go to Moscow to help handle the processing .,"TL;DR , said is not a named entity ."
Redman said two employees of the U.S. Immigration and Naturalization Service would go to Moscow to help handle the processing .,"TL;DR , to Moscow to help handle the processing . is not a named entity ."
Redman said two employees of the U.S. Immigration and Naturalization Service would go to Moscow to help handle the processing .,"TL;DR , help handle is not a named entity ."
Redman said two employees of the U.S. Immigration and Naturalization Service would go to Moscow to help handle the processing .,"TL;DR , said two employees of the U.S. is not a named entity ."
Redman said two employees of the U.S. Immigration and Naturalization Service would go to Moscow to help handle the processing .,"TL;DR , Naturalization is not a named entity ."
Redman said two employees of the U.S. Immigration and Naturalization Service would go to Moscow to help handle the processing .,"TL;DR , two employees of the U.S. Immigration and is not a named entity ."
Redman said two employees of the U.S. Immigration and Naturalization Service would go to Moscow to help handle the processing .,"TL;DR , and Naturalization is not a named entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , United States is a location entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , Britain is a location entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , France is a location entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , Security Council is an organization entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , U.S. is a location entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , Navy is an organization entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , Mediterranean is a location entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , Jan. 4 . is an other entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , that ` ` deplored ' ' the is not a named entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , Security is not a named entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , joined is not a named entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , jets over the Mediterranean on Jan. 4 . is not a named entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , Navy 's downing of two Libyan is not a named entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , the Mediterranean on Jan. 4 is not a named entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , Navy 's downing is not a named entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , Security Council resolution that is not a named entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , joined in vetoing a Security Council resolution that is not a named entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , two Libyan military jets over the Mediterranean on is not a named entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , over the Mediterranean on Jan. 4 is not a named entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , , Britain and France is not a named entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , downing of is not a named entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , two Libyan military is not a named entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , Libyan military jets over the Mediterranean is not a named entity ."
"The United States , Britain and France joined in vetoing a Security Council resolution that ` ` deplored ' ' the U.S. Navy 's downing of two Libyan military jets over the Mediterranean on Jan. 4 .","TL;DR , United States , Britain and France joined in is not a named entity ."
NEW YORK ( AP ),"TL;DR , NEW YORK is a location entity ."
NEW YORK ( AP ),"TL;DR , AP is an organization entity ."
NEW YORK ( AP ),"TL;DR , YORK ( AP ) is not a named entity ."
NEW YORK ( AP ),"TL;DR , ( AP ) is not a named entity ."
NEW YORK ( AP ),"TL;DR , YORK ( is not a named entity ."
NEW YORK ( AP ),"TL;DR , YORK ( AP is not a named entity ."
"The most vociferous , but also the most categorical , has been Drazen Budisa , chairman of the strongest opposition party , the Croatian Social Liberal Party ( HSLS ) : "" There is no justification for a policy that seeks an ally in the aggressor , while seeking an enemy in the other victim of the aggression .","TL;DR , Drazen Budisa is a person entity ."
"The most vociferous , but also the most categorical , has been Drazen Budisa , chairman of the strongest opposition party , the Croatian Social Liberal Party ( HSLS ) : "" There is no justification for a policy that seeks an ally in the aggressor , while seeking an enemy in the other victim of the aggression .","TL;DR , Croatian Social Liberal Party is an organization entity ."
"The most vociferous , but also the most categorical , has been Drazen Budisa , chairman of the strongest opposition party , the Croatian Social Liberal Party ( HSLS ) : "" There is no justification for a policy that seeks an ally in the aggressor , while seeking an enemy in the other victim of the aggression .","TL;DR , , the Croatian is not a named entity ."
"The most vociferous , but also the most categorical , has been Drazen Budisa , chairman of the strongest opposition party , the Croatian Social Liberal Party ( HSLS ) : "" There is no justification for a policy that seeks an ally in the aggressor , while seeking an enemy in the other victim of the aggression .","TL;DR , vociferous , but also the most categorical is not a named entity ."
"The most vociferous , but also the most categorical , has been Drazen Budisa , chairman of the strongest opposition party , the Croatian Social Liberal Party ( HSLS ) : "" There is no justification for a policy that seeks an ally in the aggressor , while seeking an enemy in the other victim of the aggression .","TL;DR , most categorical , has been is not a named entity ."
"The most vociferous , but also the most categorical , has been Drazen Budisa , chairman of the strongest opposition party , the Croatian Social Liberal Party ( HSLS ) : "" There is no justification for a policy that seeks an ally in the aggressor , while seeking an enemy in the other victim of the aggression .","TL;DR , policy that seeks is not a named entity ."
"Jesse Jackson on Sunday was touting his big win in his native South Carolina , while officials struggled to count the final ballots after a record turnout at Democratic caucuses.","TL;DR , Jesse Jackson is a person entity ."
"Jesse Jackson on Sunday was touting his big win in his native South Carolina , while officials struggled to count the final ballots after a record turnout at Democratic caucuses.","TL;DR , Sunday is an other entity ."
"Jesse Jackson on Sunday was touting his big win in his native South Carolina , while officials struggled to count the final ballots after a record turnout at Democratic caucuses.","TL;DR , South Carolina is a location entity ."
"Jesse Jackson on Sunday was touting his big win in his native South Carolina , while officials struggled to count the final ballots after a record turnout at Democratic caucuses.","TL;DR , his is not a named entity ."
"Jesse Jackson on Sunday was touting his big win in his native South Carolina , while officials struggled to count the final ballots after a record turnout at Democratic caucuses.","TL;DR , his native South is not a named entity ."
"Jesse Jackson on Sunday was touting his big win in his native South Carolina , while officials struggled to count the final ballots after a record turnout at Democratic caucuses.","TL;DR , , while officials struggled is not a named entity ."
"Jesse Jackson on Sunday was touting his big win in his native South Carolina , while officials struggled to count the final ballots after a record turnout at Democratic caucuses.","TL;DR , caucuses. is not a named entity ."
"Jesse Jackson on Sunday was touting his big win in his native South Carolina , while officials struggled to count the final ballots after a record turnout at Democratic caucuses.","TL;DR , his native South Carolina , is not a named entity ."
"Jesse Jackson on Sunday was touting his big win in his native South Carolina , while officials struggled to count the final ballots after a record turnout at Democratic caucuses.","TL;DR , Sunday was touting his big win is not a named entity ."
LD0806223294 Sarajevo Radio Bosnia-Herzegovina Network in Serbo-Croatian 2000 GMT 8 Jun 94,"TL;DR , Sarajevo is a location entity ."
LD0806223294 Sarajevo Radio Bosnia-Herzegovina Network in Serbo-Croatian 2000 GMT 8 Jun 94,"TL;DR , Radio Bosnia-Herzegovina Network is an organization entity ."
LD0806223294 Sarajevo Radio Bosnia-Herzegovina Network in Serbo-Croatian 2000 GMT 8 Jun 94,"TL;DR , 2000 GMT is an other entity ."
LD0806223294 Sarajevo Radio Bosnia-Herzegovina Network in Serbo-Croatian 2000 GMT 8 Jun 94,"TL;DR , 8 Jun 94 is an other entity ."
LD0806223294 Sarajevo Radio Bosnia-Herzegovina Network in Serbo-Croatian 2000 GMT 8 Jun 94,"TL;DR , 2000 GMT 8 Jun 94 is not a named entity ."
LD0806223294 Sarajevo Radio Bosnia-Herzegovina Network in Serbo-Croatian 2000 GMT 8 Jun 94,"TL;DR , Sarajevo Radio Bosnia-Herzegovina Network in Serbo-Croatian is not a named entity ."
LD0806223294 Sarajevo Radio Bosnia-Herzegovina Network in Serbo-Croatian 2000 GMT 8 Jun 94,"TL;DR , Jun 94 is not a named entity ."
LD0806223294 Sarajevo Radio Bosnia-Herzegovina Network in Serbo-Croatian 2000 GMT 8 Jun 94,"TL;DR , Network in Serbo-Croatian 2000 GMT 8 Jun 94 is not a named entity ."
LD0806223294 Sarajevo Radio Bosnia-Herzegovina Network in Serbo-Croatian 2000 GMT 8 Jun 94,"TL;DR , GMT is not a named entity ."
LD0806223294 Sarajevo Radio Bosnia-Herzegovina Network in Serbo-Croatian 2000 GMT 8 Jun 94,"TL;DR , LD0806223294 Sarajevo Radio Bosnia-Herzegovina Network in is not a named entity ."
LD0806223294 Sarajevo Radio Bosnia-Herzegovina Network in Serbo-Croatian 2000 GMT 8 Jun 94,"TL;DR , Radio is not a named entity ."
LD0806223294 Sarajevo Radio Bosnia-Herzegovina Network in Serbo-Croatian 2000 GMT 8 Jun 94,"TL;DR , Radio Bosnia-Herzegovina is not a named entity ."
"Both high level employees as well as lower-level ones were obliged to clear out , to run away because of threats by 18 January Senator Osny Eugene , the quaestor of the unofficial Senate office who was very angry and took off his jacket so he could drive employees out .","TL;DR , 18 January is an other entity ."
"Both high level employees as well as lower-level ones were obliged to clear out , to run away because of threats by 18 January Senator Osny Eugene , the quaestor of the unofficial Senate office who was very angry and took off his jacket so he could drive employees out .","TL;DR , Osny Eugene is a person entity ."
"Both high level employees as well as lower-level ones were obliged to clear out , to run away because of threats by 18 January Senator Osny Eugene , the quaestor of the unofficial Senate office who was very angry and took off his jacket so he could drive employees out .","TL;DR , Senate is an organization entity ."
"Both high level employees as well as lower-level ones were obliged to clear out , to run away because of threats by 18 January Senator Osny Eugene , the quaestor of the unofficial Senate office who was very angry and took off his jacket so he could drive employees out .","TL;DR , he could drive employees is not a named entity ."
"Both high level employees as well as lower-level ones were obliged to clear out , to run away because of threats by 18 January Senator Osny Eugene , the quaestor of the unofficial Senate office who was very angry and took off his jacket so he could drive employees out .","TL;DR , well as lower-level ones were is not a named entity ."
"Both high level employees as well as lower-level ones were obliged to clear out , to run away because of threats by 18 January Senator Osny Eugene , the quaestor of the unofficial Senate office who was very angry and took off his jacket so he could drive employees out .","TL;DR , high is not a named entity ."
"Both high level employees as well as lower-level ones were obliged to clear out , to run away because of threats by 18 January Senator Osny Eugene , the quaestor of the unofficial Senate office who was very angry and took off his jacket so he could drive employees out .","TL;DR , could drive employees out is not a named entity ."
"Both high level employees as well as lower-level ones were obliged to clear out , to run away because of threats by 18 January Senator Osny Eugene , the quaestor of the unofficial Senate office who was very angry and took off his jacket so he could drive employees out .","TL;DR , Eugene , the quaestor of is not a named entity ."
"Both high level employees as well as lower-level ones were obliged to clear out , to run away because of threats by 18 January Senator Osny Eugene , the quaestor of the unofficial Senate office who was very angry and took off his jacket so he could drive employees out .","TL;DR , office who was very is not a named entity ."
"` ` It would be helpful if you folks would provide leadership , ' ' shot back Rep. Ted Weiss , D-N.Y. , chairman of the House oversight subcommittee grilling Mason and other administration officials about a broad range of AIDS programs.","TL;DR , Ted Weiss is a person entity ."
"` ` It would be helpful if you folks would provide leadership , ' ' shot back Rep. Ted Weiss , D-N.Y. , chairman of the House oversight subcommittee grilling Mason and other administration officials about a broad range of AIDS programs.","TL;DR , House is an organization entity ."
"` ` It would be helpful if you folks would provide leadership , ' ' shot back Rep. Ted Weiss , D-N.Y. , chairman of the House oversight subcommittee grilling Mason and other administration officials about a broad range of AIDS programs.","TL;DR , Mason is a person entity ."
"` ` It would be helpful if you folks would provide leadership , ' ' shot back Rep. Ted Weiss , D-N.Y. , chairman of the House oversight subcommittee grilling Mason and other administration officials about a broad range of AIDS programs.","TL;DR , It would be helpful if you folks would is not a named entity ."
"` ` It would be helpful if you folks would provide leadership , ' ' shot back Rep. Ted Weiss , D-N.Y. , chairman of the House oversight subcommittee grilling Mason and other administration officials about a broad range of AIDS programs.","TL;DR , Weiss , D-N.Y. , chairman of the House is not a named entity ."
"` ` It would be helpful if you folks would provide leadership , ' ' shot back Rep. Ted Weiss , D-N.Y. , chairman of the House oversight subcommittee grilling Mason and other administration officials about a broad range of AIDS programs.","TL;DR , back is not a named entity ."
"` ` It would be helpful if you folks would provide leadership , ' ' shot back Rep. Ted Weiss , D-N.Y. , chairman of the House oversight subcommittee grilling Mason and other administration officials about a broad range of AIDS programs.","TL;DR , would provide leadership , ' ' shot back is not a named entity ."
"` ` It would be helpful if you folks would provide leadership , ' ' shot back Rep. Ted Weiss , D-N.Y. , chairman of the House oversight subcommittee grilling Mason and other administration officials about a broad range of AIDS programs.","TL;DR , oversight subcommittee grilling is not a named entity ."
"` ` It would be helpful if you folks would provide leadership , ' ' shot back Rep. Ted Weiss , D-N.Y. , chairman of the House oversight subcommittee grilling Mason and other administration officials about a broad range of AIDS programs.","TL;DR , oversight subcommittee grilling Mason and is not a named entity ."
Jack Ruby bought the revolver for $62.50 in a Dallas gun shop and used it to shoot Oswald two days after Kennedy was assassinated.,"TL;DR , Jack Ruby is a person entity ."
Jack Ruby bought the revolver for $62.50 in a Dallas gun shop and used it to shoot Oswald two days after Kennedy was assassinated.,"TL;DR , Dallas is a location entity ."
Jack Ruby bought the revolver for $62.50 in a Dallas gun shop and used it to shoot Oswald two days after Kennedy was assassinated.,"TL;DR , Oswald is a person entity ."
Jack Ruby bought the revolver for $62.50 in a Dallas gun shop and used it to shoot Oswald two days after Kennedy was assassinated.,"TL;DR , Kennedy is a person entity ."
Jack Ruby bought the revolver for $62.50 in a Dallas gun shop and used it to shoot Oswald two days after Kennedy was assassinated.,"TL;DR , shop and used is not a named entity ."
Jack Ruby bought the revolver for $62.50 in a Dallas gun shop and used it to shoot Oswald two days after Kennedy was assassinated.,"TL;DR , and used it is not a named entity ."
Jack Ruby bought the revolver for $62.50 in a Dallas gun shop and used it to shoot Oswald two days after Kennedy was assassinated.,"TL;DR , Dallas gun shop and used it to shoot is not a named entity ."
Jack Ruby bought the revolver for $62.50 in a Dallas gun shop and used it to shoot Oswald two days after Kennedy was assassinated.,"TL;DR , used is not a named entity ."
Jack Ruby bought the revolver for $62.50 in a Dallas gun shop and used it to shoot Oswald two days after Kennedy was assassinated.,"TL;DR , days after is not a named entity ."
Jack Ruby bought the revolver for $62.50 in a Dallas gun shop and used it to shoot Oswald two days after Kennedy was assassinated.,"TL;DR , and used it to shoot is not a named entity ."
Jack Ruby bought the revolver for $62.50 in a Dallas gun shop and used it to shoot Oswald two days after Kennedy was assassinated.,"TL;DR , $62.50 in is not a named entity ."
Jack Ruby bought the revolver for $62.50 in a Dallas gun shop and used it to shoot Oswald two days after Kennedy was assassinated.,"TL;DR , used it is not a named entity ."
"Kennedy 's assassin , Sirhan Bishara Sirhan , was immediately arrested .","TL;DR , Kennedy is a person entity ."
"Kennedy 's assassin , Sirhan Bishara Sirhan , was immediately arrested .","TL;DR , Sirhan Bishara Sirhan is a person entity ."
"Kennedy 's assassin , Sirhan Bishara Sirhan , was immediately arrested .","TL;DR , , was immediately arrested . is not a named entity ."
"Kennedy 's assassin , Sirhan Bishara Sirhan , was immediately arrested .","TL;DR , immediately is not a named entity ."
"Kennedy 's assassin , Sirhan Bishara Sirhan , was immediately arrested .","TL;DR , 's assassin , Sirhan is not a named entity ."
"Kennedy 's assassin , Sirhan Bishara Sirhan , was immediately arrested .","TL;DR , 's assassin is not a named entity ."
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .","TL;DR , Ray is a person entity ."
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .","TL;DR , Tennessee is a location entity ."
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .","TL;DR , Brushy Mountain State Prison is an organization entity ."
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .","TL;DR , April is an other entity ."
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .","TL;DR , King is a person entity ."
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .","TL;DR , sentence is not a named entity ."
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .","TL;DR , being held in Tennessee 's is not a named entity ."
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .","TL;DR , Brushy Mountain State Prison on is not a named entity ."
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .","TL;DR , of King is not a named entity ."
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .","TL;DR , for the April 4 is not a named entity ."
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .","TL;DR , Brushy Mountain is not a named entity ."
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .","TL;DR , for the April 4 , 1968 , is not a named entity ."
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .","TL;DR , 's Brushy Mountain State Prison on a is not a named entity ."
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .","TL;DR , Mountain State Prison is not a named entity ."
"Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .","TL;DR , Prison on a is not a named entity ."
"In 1846 , ` ` Buffalo Bill ' ' Cody was born near Davenport , Iowa .","TL;DR , Buffalo Bill is a person entity ."
"In 1846 , ` ` Buffalo Bill ' ' Cody was born near Davenport , Iowa .","TL;DR , Cody is a person entity ."
"In 1846 , ` ` Buffalo Bill ' ' Cody was born near Davenport , Iowa .","TL;DR , Davenport , Iowa is a location entity ."
"In 1846 , ` ` Buffalo Bill ' ' Cody was born near Davenport , Iowa .","TL;DR , Buffalo Bill ' ' is not a named entity ."
"In 1846 , ` ` Buffalo Bill ' ' Cody was born near Davenport , Iowa .","TL;DR , was born near Davenport is not a named entity ."
"In 1846 , ` ` Buffalo Bill ' ' Cody was born near Davenport , Iowa .","TL;DR , was born near is not a named entity ."
"In 1846 , ` ` Buffalo Bill ' ' Cody was born near Davenport , Iowa .","TL;DR , Bill ' ' Cody is not a named entity ."
"In 1846 , ` ` Buffalo Bill ' ' Cody was born near Davenport , Iowa .","TL;DR , ` Buffalo Bill ' ' Cody was born is not a named entity ."
"In 1846 , ` ` Buffalo Bill ' ' Cody was born near Davenport , Iowa .","TL;DR , near Davenport is not a named entity ."
"Meanwhile , Shi Liming at the Institute of Zoology of Kunming found that pandas lack variety in their protein heredity , which may serve as one of the major reasons for pandas ' near extinction .","TL;DR , Shi Liming is a person entity ."
"Meanwhile , Shi Liming at the Institute of Zoology of Kunming found that pandas lack variety in their protein heredity , which may serve as one of the major reasons for pandas ' near extinction .","TL;DR , Institute of Zoology is an organization entity ."
"Meanwhile , Shi Liming at the Institute of Zoology of Kunming found that pandas lack variety in their protein heredity , which may serve as one of the major reasons for pandas ' near extinction .","TL;DR , Kunming is a location entity ."
"Meanwhile , Shi Liming at the Institute of Zoology of Kunming found that pandas lack variety in their protein heredity , which may serve as one of the major reasons for pandas ' near extinction .","TL;DR , their protein heredity , which may serve is not a named entity ."
"Meanwhile , Shi Liming at the Institute of Zoology of Kunming found that pandas lack variety in their protein heredity , which may serve as one of the major reasons for pandas ' near extinction .","TL;DR , one is not a named entity ."
"Meanwhile , Shi Liming at the Institute of Zoology of Kunming found that pandas lack variety in their protein heredity , which may serve as one of the major reasons for pandas ' near extinction .","TL;DR , heredity , which may serve as one is not a named entity ."
"Meanwhile , Shi Liming at the Institute of Zoology of Kunming found that pandas lack variety in their protein heredity , which may serve as one of the major reasons for pandas ' near extinction .","TL;DR , variety in their protein heredity , is not a named entity ."
"Meanwhile , Shi Liming at the Institute of Zoology of Kunming found that pandas lack variety in their protein heredity , which may serve as one of the major reasons for pandas ' near extinction .","TL;DR , one of is not a named entity ."
"Meanwhile , Shi Liming at the Institute of Zoology of Kunming found that pandas lack variety in their protein heredity , which may serve as one of the major reasons for pandas ' near extinction .","TL;DR , , which may is not a named entity ."
"The following are the grounds of this assumption : First , it is too late to negotiate because our government already agreed to the UR basic principles on 15 December 1993 , presented our final "" country schedule "" for market opening , and signed the final protocol acknowledging the overall outcome of the UR round at Marrackech , Morocco , on 12 April this year .","TL;DR , 15 December 1993 is an other entity ."
"The following are the grounds of this assumption : First , it is too late to negotiate because our government already agreed to the UR basic principles on 15 December 1993 , presented our final "" country schedule "" for market opening , and signed the final protocol acknowledging the overall outcome of the UR round at Marrackech , Morocco , on 12 April this year .","TL;DR , Marrackech is a location entity ."
"The following are the grounds of this assumption : First , it is too late to negotiate because our government already agreed to the UR basic principles on 15 December 1993 , presented our final "" country schedule "" for market opening , and signed the final protocol acknowledging the overall outcome of the UR round at Marrackech , Morocco , on 12 April this year .","TL;DR , Morocco is a location entity ."
"The following are the grounds of this assumption : First , it is too late to negotiate because our government already agreed to the UR basic principles on 15 December 1993 , presented our final "" country schedule "" for market opening , and signed the final protocol acknowledging the overall outcome of the UR round at Marrackech , Morocco , on 12 April this year .","TL;DR , 12 April is an other entity ."
"The following are the grounds of this assumption : First , it is too late to negotiate because our government already agreed to the UR basic principles on 15 December 1993 , presented our final "" country schedule "" for market opening , and signed the final protocol acknowledging the overall outcome of the UR round at Marrackech , Morocco , on 12 April this year .","TL;DR , Morocco , on 12 April this year is not a named entity ."
"The following are the grounds of this assumption : First , it is too late to negotiate because our government already agreed to the UR basic principles on 15 December 1993 , presented our final "" country schedule "" for market opening , and signed the final protocol acknowledging the overall outcome of the UR round at Marrackech , Morocco , on 12 April this year .","TL;DR , following are the grounds of this is not a named entity ."
"The following are the grounds of this assumption : First , it is too late to negotiate because our government already agreed to the UR basic principles on 15 December 1993 , presented our final "" country schedule "" for market opening , and signed the final protocol acknowledging the overall outcome of the UR round at Marrackech , Morocco , on 12 April this year .","TL;DR , UR basic principles on 15 December 1993 , is not a named entity ."
"The following are the grounds of this assumption : First , it is too late to negotiate because our government already agreed to the UR basic principles on 15 December 1993 , presented our final "" country schedule "" for market opening , and signed the final protocol acknowledging the overall outcome of the UR round at Marrackech , Morocco , on 12 April this year .","TL;DR , government already agreed to is not a named entity ."
"The following are the grounds of this assumption : First , it is too late to negotiate because our government already agreed to the UR basic principles on 15 December 1993 , presented our final "" country schedule "" for market opening , and signed the final protocol acknowledging the overall outcome of the UR round at Marrackech , Morocco , on 12 April this year .","TL;DR , on 15 December 1993 , is not a named entity ."
"The following are the grounds of this assumption : First , it is too late to negotiate because our government already agreed to the UR basic principles on 15 December 1993 , presented our final "" country schedule "" for market opening , and signed the final protocol acknowledging the overall outcome of the UR round at Marrackech , Morocco , on 12 April this year .","TL;DR , 1993 , presented is not a named entity ."
"The following are the grounds of this assumption : First , it is too late to negotiate because our government already agreed to the UR basic principles on 15 December 1993 , presented our final "" country schedule "" for market opening , and signed the final protocol acknowledging the overall outcome of the UR round at Marrackech , Morocco , on 12 April this year .","TL;DR , and signed the final is not a named entity ."
"The following are the grounds of this assumption : First , it is too late to negotiate because our government already agreed to the UR basic principles on 15 December 1993 , presented our final "" country schedule "" for market opening , and signed the final protocol acknowledging the overall outcome of the UR round at Marrackech , Morocco , on 12 April this year .","TL;DR , country schedule is not a named entity ."
"Some brought radios , ' ' said Nancy Cowan , Red Cross disaster chairman for Calcasieu and Cameron parishes.","TL;DR , Nancy Cowan is a person entity ."
"Some brought radios , ' ' said Nancy Cowan , Red Cross disaster chairman for Calcasieu and Cameron parishes.","TL;DR , Red Cross is an organization entity ."
"Some brought radios , ' ' said Nancy Cowan , Red Cross disaster chairman for Calcasieu and Cameron parishes.","TL;DR , Calcasieu is a location entity ."
"Some brought radios , ' ' said Nancy Cowan , Red Cross disaster chairman for Calcasieu and Cameron parishes.","TL;DR , Cameron is a location entity ."
"Some brought radios , ' ' said Nancy Cowan , Red Cross disaster chairman for Calcasieu and Cameron parishes.","TL;DR , said Nancy Cowan , is not a named entity ."
"Some brought radios , ' ' said Nancy Cowan , Red Cross disaster chairman for Calcasieu and Cameron parishes.","TL;DR , ' said is not a named entity ."
"Some brought radios , ' ' said Nancy Cowan , Red Cross disaster chairman for Calcasieu and Cameron parishes.","TL;DR , ' said Nancy Cowan , Red Cross is not a named entity ."
"Some brought radios , ' ' said Nancy Cowan , Red Cross disaster chairman for Calcasieu and Cameron parishes.","TL;DR , for Calcasieu is not a named entity ."
"Some brought radios , ' ' said Nancy Cowan , Red Cross disaster chairman for Calcasieu and Cameron parishes.","TL;DR , Red Cross disaster chairman for Calcasieu is not a named entity ."
"Some brought radios , ' ' said Nancy Cowan , Red Cross disaster chairman for Calcasieu and Cameron parishes.","TL;DR , said Nancy Cowan is not a named entity ."
"Some brought radios , ' ' said Nancy Cowan , Red Cross disaster chairman for Calcasieu and Cameron parishes.","TL;DR , and Cameron parishes. is not a named entity ."
"Some brought radios , ' ' said Nancy Cowan , Red Cross disaster chairman for Calcasieu and Cameron parishes.","TL;DR , radios , ' ' said is not a named entity ."
"The state Supreme Court jury in Niagara County made the award Tuesday to the estate of Thomas Viscomi and his widow , Norma Viscomi , of Niagara Falls .","TL;DR , Supreme Court is an organization entity ."
